Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
porcelain 576,11.297,4.41,753,2.56,5378.0,3400.0,71.49011,61.52295
vanadium,30.794,11.0,460,2.806,9298.0,6100.0,48.98645,38.03894
boron nitride (BN) (prs axis 94 d),20.92,12.5,795,1.67,5910.0,2100.0,71.36731,52.06067
strontium titanate + co (co 10),4.602,1.67,502,2.761,3565.0,5500.0,46.195923,62.705444
beryllium oxide porcelain (4811),125.52,43.1,1004,2.912,19117.0,2900.0,53.36493,56.968872
copper,397.48,116.0,385,3.442,36983.0,8940.0,54.616272,61.090576
cellulose proprionate (high k),0.335,0.19,1464,1.757,767.0,1200.0,48.30487,63.806274
phenolic cast no filler,0.167,0.09,1464,1.918,567.0,1310.0,46.788147,66.05701
polyvinylidene fluoride (kynar),0.126,0.05,1381,2.431,552.0,1760.0,43.78839,68.663574
steel stainless hw (cast),13.389,3.57,460,3.749,7086.0,8150.0,51.091736,41.178467
titanium alloy hylite 50 (imi550),7.531,3.13,523,2.406,4257.0,4600.0,71.210754,60.398438
limestone (H2O 15.3),0.92,0.61,921,1.52,1182.0,1650.0,51.82367,58.704712
water (H2O) (solid - ice),2.092,0.54,4217,3.867,2844.0,917.0,25.375183,85.559814
nickel alloy illium g,12.134,3.22,439,3.767,6763.0,8580.0,50.352966,43.29077
osmium,85.772,29.3,130,2.934,15846.0,22570.0,32.535583,56.753662
aluminum (liquid),92.048,36.0,1084,2.558,15345.0,2360.0,56.208008,59.158813
ethyl cellulose (wide range of c  k),0.23,0.1,2092,2.406,744.0,1150.0,52.282593,64.107056
butyl rubber,0.088,0.05,1966,1.769,394.0,900.0,51.68274,63.242065
strontium,83.68,107.0,301,0.783,8095.0,2600.0,56.01758,29.89795
thorium boride (ThB6),43.095,10.1,628,4.27,13562.0,6800.0,40.383484,13.653687
acetal resin (delrin),0.23,0.11,1464,2.079,692.0,1420.0,45.826904,67.461914
dolomite - calcium magnesium carbonate (CaMg(CO3)(avg prop),2.929,1.18,921,2.487,2698.0,2700.0,45.831482,67.52222
strontium,83.68,107.0,301,0.783,8095.0,2600.0,56.01758,29.89795
titanium carbide (TiC) (96 pc dense),31.38,11.6,569,2.697,9200.0,4740.0,69.61658,33.091064
nickel alloy inconel 713c (cast),12.134,3.43,448,3.544,6555.0,7910.0,50.588074,43.39624
nickel oxide (NiO) (polyxtal  68-74 d),9.832,3.26,603,3.015,5442.0,5000.0,44.843628,66.67346
zirconium oxide (Y2O3 12  Zr 8) (97 d),2.469,1.02,439,2.415,2442.0,5500.0,52.84088,67.8186
uranium alloy (U93 Fs5 Zr2),20.083,9.09,126,2.218,6660.0,17600.0,46.549927,37.036987
mtbe (methyl tert-butyl ether),0.12,0.0776,2090,1.547,430.8,740.0,53.924866,61.597656
beryllium oxide + Be + Si,192.46,63.5,1046,3.033,24162.0,2900.0,56.201416,61.8761
nickel alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
dysprosium,10.042,6.78,173,1.48,3858.0,8556.0,56.18048,60.282837
cellulose acetate (low k),0.167,0.09,1464,1.903,564.0,1300.0,46.91931,65.87109
white fir wood (across grain),0.109,0.11,2301,1.035,336.0,450.0,54.384094,59.147095
rubidium (liquid),29.288,51.6,385,0.568,4078.0,1475.0,61.05951,39.238525
hematite (Fe2O3),12.552,3.82,628,3.291,6425.0,5240.0,34.52295,62.355835
copy paper,0.0904,0.08771,1260,1.031,305.0,818.0,53.56891,52.325195
aluminum alloy 2024-5-t4 (annealed),175.73,75.5,837,2.327,20219.0,2780.0,63.768738,65.625854
titanium alloy (Ti Bal  Al8  Mo1  v1),5.858,2.46,544,2.377,3731.0,4370.0,66.52557,59.93689
beryllium nitride (Be3Nn2) (prsd 3.4 kb),0.711,0.33,1255,2.134,1232.0,1700.0,45.42389,67.27136
cobalt alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
zirconium carbide (ZrC) (hp or snt 94d),33.472,15.2,368,2.208,8599.0,6000.0,65.54248,52.923706
chalk (avg prop),0.837,0.59,921,1.418,1089.0,1540.0,52.722168,56.950684
carbon dioxide  (25 °C),0.016632,10.957,851,0.002,55.0,1.7842,51.852234,37.96045
zirconium alloys zircalloy 2 and 3,13.807,7.19,293,1.922,5151.0,6560.0,70.3111,59.35132
silicon carbide (SiC) (rextal 80-100d),51.882,26.4,678,1.966,10099.0,2900.0,91.93402,50.15332
tantalum alloy (Ta98 Cu0.7 Zr0.7),41.84,18.2,138,2.299,9811.0,16660.0,36.07245,44.662598
potassium bromide (KBr 50),2.51,2.0,531,1.253,1774.0,2360.0,55.31842,54.040527
diatomaceous earth brick (accr strata),0.088,0.25,795,0.35,175.0,440.0,52.54486,43.755615
lead antimonial (Pb Sb 4-6) (hard),29.706,20.2,134,1.469,6603.0,10960.0,59.83313,63.036743
propane,0.13,0.097,2140,1.243,417.4,581.0,54.48761,60.012817
baratol h.e. (tnt 26 ba nitrate 76),0.495,0.24,803,2.088,1017.0,2600.0,45.162903,65.59778
phenolic cast asbestos filler,0.351,0.17,1255,2.134,866.0,1700.0,45.119385,67.47766
nickel alloy multimet (n-155) (low c),16.318,4.57,435,3.574,7637.0,8215.0,47.866028,36.110718
lead oxide (PbO) (yellow),2.929,1.79,205,1.64,2192.0,8000.0,63.66217,65.77527
cobalt alloy j-1570,10.042,2.86,418,3.511,5941.0,8400.0,49.50049,47.212036
teflon,0.251,0.12,1004,2.179,740.0,2170.0,44.307007,67.43176
iron ni-hard types 1 and 2 (kovar),14.226,4.02,460,3.542,7100.0,7700.0,50.428955,39.693848
iron oxide - hematite (Fe2O3),12.552,3.82,628,3.291,6425.0,5240.0,34.52295,62.355835
silicon nitride (Si3N4) (85 pc dense),7.95,4.11,690,1.932,3920.0,2800.0,58.805298,57.73767
aluminum oxide (Al2O3) (polyxtal  55 d),17.573,10.3,778,1.712,5485.0,2200.0,69.13153,52.44336
nickel alloy nimonic 100,11.297,3.07,460,3.68,6449.0,8000.0,51.430664,45.313843
nickel alloy monel (hot-rolled),22.677,5.96,431,3.808,9293.0,8835.0,46.053406,27.588867
bronze phospher 1.25 percent,205.02,61.2,377,3.355,26214.0,8900.0,54.828857,56.682617
teflon,0.251,0.12,1004,2.179,740.0,2170.0,44.307007,67.43176
vanadium nitride (VN),12.134,3.4,586,3.575,6585.0,6100.0,42.06433,55.35254
aluminum alloy (Al84.0 average trtmt),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
magnesium alloy zk60a b zw6 (casting),117.15,61.2,1046,1.914,14975.0,1830.0,63.731445,65.6073
phenolic molded (high density  k),0.674,0.18,1255,3.765,1593.0,3000.0,38.253113,81.24426
aluminum oxide foam (Al2O3),0.042,0.11,778,0.389,128.0,500.0,52.597595,44.197144
expanded polystyrene foam (NIST 1453),0.033,0.77,1130,0.043,38.0,38.0,52.232117,41.138794
silicon carbide (SiC) (single xtal),87.864,40.4,678,2.176,13826.0,3210.0,74.56366,58.15515
vanadium boride (vb2),56.902,17.0,661,3.351,13810.0,5070.0,40.255676,23.083862
antimony telluride (sb2te3) (polyxtal),4.602,3.39,209,1.359,2502.0,6500.0,54.950073,60.7041
copper alloy manganin (Cu84 Ni4 Mn12),22.175,6.77,377,3.28,8524.0,8700.0,39.476624,35.306274
beryllium,184.1,54.1,1841,3.402,25027.0,1848.0,54.616272,61.090576
titanium alloy (Ti Bal  Al6  V4),7.113,3.06,523,2.327,4069.0,4450.0,71.13989,60.315674
beryl - beryllium aluminosilicate (3BeO.Al2O3.6SiO2),6.276,1.89,1255,3.326,4569.0,2650.0,23.067444,85.05994
rattan,4.184,0.52,540,8.1,5820.0,15000.0,25.781067,55.15747
tungsten titanium carbide k2s,52.718,10.9,377,4.863,16003.0,12900.0,27.480408,20.514648
rattan,4.184,0.52,540,8.1,5820.0,15000.0,25.781067,55.15747
thulium,8.368,5.63,160,1.488,3526.0,9300.0,60.72943,54.859375
brass  yellow (Cu65  Zn35),117.15,36.7,377,3.193,19331.0,8470.0,41.734253,50.56848
manganese oxide (MnO) (single xtal),10.042,3.09,603,3.256,5716.0,5400.0,35.891724,65.8396
aluminum oxide foam (Al2O3),0.042,0.11,778,0.389,128.0,500.0,52.597595,44.197144
brass red wrought (Cu85 Zn15),146.44,44.4,377,3.299,21967.0,8750.0,46.20569,55.28003
uranium oxide (U3O8) (prsd at 4200 psi),0.544,0.24,276,2.291,1116.0,8300.0,73.82861,46.47119
shale (avg prop),1.674,0.83,837,2.009,1833.0,2400.0,49.088013,64.39368
rattan,4.184,0.52,540,8.1,5820.0,15000.0,25.781067,55.15747
uranium alloy (U90  FS10),15.062,6.54,134,2.305,5890.0,17200.0,46.959167,34.518433
beryllium oxide (BeO) (96 pc dens),255.22,84.1,1046,3.033,27824.0,2900.0,58.08838,62.811035
polycarbonate various fillers,0.192,0.09,1674,2.26,660.0,1350.0,47.237366,66.50232
mica (single crystal) (c axis),0.711,0.3,837,2.344,1291.0,2800.0,39.84381,65.9314
limestone (H2O 15.3),0.92,0.61,921,1.52,1182.0,1650.0,51.82367,58.704712
iron grey cast pearlitic (3.7-3.8 c),66.944,20.2,460,3.307,14883.0,7190.0,40.50702,28.985718
polyvinyl chloride acytate  rigid,0.167,0.12,1004,1.406,485.0,1400.0,52.121277,57.322998
siliceous fireclay brick (23 p),1.088,0.72,753,1.506,1280.0,2000.0,53.56659,57.36133
Fibrous glass board (NIST 1450d),0.0325,0.2323,1093,0.14,67.0,128.0,52.354797,42.16565
niobium silicide (NbSi2),41.84,17.2,460,2.433,10092.0,5290.0,67.231995,44.549072
thorium,38.493,28.1,117,1.367,7259.0,11680.0,63.12146,63.5791
ytterbium,8.368,8.05,149,1.043,2949.0,7000.0,61.97052,60.213013
copper alloy manganin (Cu84 Ni4 Mn12),22.175,6.77,377,3.28,8524.0,8700.0,39.476624,35.306274
wood maple (across grain),0.176,0.11,2301,1.634,536.0,710.0,54.616272,61.090576
polyurethane rubber elastomer l-100,0.293,0.14,1674,2.093,783.0,1250.0,47.358704,66.41321
lead,34.309,23.3,130,1.476,7107.0,11350.0,59.635254,63.458252
zinc oxide (ZnO),27.196,9.78,494,2.781,8694.0,5630.0,57.025208,37.184326
commercial bronze (Cu75 Sn25),188.28,56.8,377,3.318,24979.0,8800.0,54.80725,57.13098
phenolic molded (low density  k),0.172,0.11,1255,1.556,517.0,1240.0,50.217285,60.4386
neon (gas),0.049,52.4,1029,0.001,7.0,0.8999,51.10852,31.738525
beryllium,184.1,54.1,1841,3.402,25027.0,1848.0,54.616272,61.090576
epoxy der 332 (c) hysol 6000-op (k),0.195,0.14,1172,1.418,525.0,1210.0,51.75049,57.823242
brass cartridge (Cu70 Zn30),100.42,28.0,418,3.582,18976.0,8570.0,31.12091,43.396362
nickel alloy inconel 713c (cast),12.134,3.43,448,3.544,6555.0,7910.0,50.588074,43.39624
steel stainless ca15 ca40 (cast),25.104,7.17,460,3.501,9376.0,7610.0,48.815796,26.786987
nickel alloy monel s (cast),19.665,5.36,439,3.67,8498.0,8360.0,47.447327,31.490234
white fir wood (across grain),0.109,0.11,2301,1.035,336.0,450.0,54.384094,59.147095
indium telluride (In2Te3),1.255,1.35,201,0.93,1080.0,4629.0,54.614258,54.670166
egyptian firebrick (64-71 wt% SiO2),0.314,0.45,732,0.695,467.0,950.0,53.02533,47.77661
steel stainless cn-7m (cast),20.92,5.65,460,3.698,8798.0,8040.0,48.96698,29.717651
aluminum alloy (Al93.0 average trtmt),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
spruce wood (across grain),0.126,0.24,1255,0.515,254.0,410.0,52.892517,46.665527
manganese telluride (95mnte.5mnas),1.255,0.55,402,2.291,1695.0,5700.0,56.14337,70.28894
steel free cutting eutectoid,46.024,12.8,460,3.602,12878.0,7830.0,45.353638,14.156616
iron grey cast ferritic (3.2-3.8 c),71.128,21.5,460,3.307,15341.0,7190.0,39.30298,32.400513
molybdenum beryllide (MoBe12),41.84,13.2,1088,3.173,11521.0,2916.0,31.641174,50.67749
manganese oxide (MnO) (single xtal),10.042,3.09,603,3.256,5716.0,5400.0,35.891724,65.8396
plutonium nitride (PuN),13.807,5.15,188,2.679,6087.0,14250.0,35.819885,34.592407
magnesium aluminate (MgO.Al2O3) (100 d),15.062,5.15,812,2.923,6634.0,3600.0,60.71747,67.36963
tantalum beryllide (ta2be17),29.288,6.67,879,4.395,11343.0,5000.0,23.150696,54.67639
niobium boride (NbB2) (pressed sntrd),16.736,5.88,418,2.842,6900.0,6800.0,43.82019,44.741943
titanium carbide + ni or co (avg prop),29.288,10.6,460,2.76,8993.0,6000.0,51.491882,39.416016
potassium fluoride (KG|F),7.113,3.33,862,2.138,3899.0,2480.0,54.415955,61.531616
steel stainless hw (cast),13.389,3.57,460,3.749,7086.0,8150.0,51.091736,41.178467
palladium,76.149,27.5,243,2.77,14515.0,11400.0,28.464111,47.7583
light mineral oil,0.129,0.08,1717,1.511,441.0,880.0,51.70941,61.452637
silicone rubber low k,0.138,0.08,1255,1.632,475.0,1300.0,49.41101,61.747925
thorium boride (ThB4),15.899,3.81,494,4.174,8144.0,8450.0,51.659424,38.666138
uranium alloy (U95  Zr5),18.828,8.57,126,2.205,6430.0,17500.0,47.44232,36.522827
alumina brick high k (Al2O3 87) (22 p),2.929,1.37,753,2.146,2507.0,2850.0,50.55432,64.005005
titanium alloy hylite 40,7.531,3.06,544,2.459,4303.0,4520.0,70.690186,59.529785
zinc antimonide (ZnSb),2.343,1.37,272,1.714,2004.0,6300.0,58.72577,78.827515
propylene glycol,0.2,0.0691,2790,2.89,760.8,1036.0,54.46118,69.177124
castor oil,0.181,0.1,1800,1.721,558.0,956.0,50.490723,64.11633
hydrogen,0.12,0.1943,8700,0.618,272.2,71.0,53.106262,38.808105
niobium nitride (NbN),4.184,1.25,402,3.361,3748.0,8360.0,44.96405,60.125732
machinable glass ceramic (macor),1.46,0.73,790,1.346,2520.0,1704.0,57.575684,52.741577
sand (dry) (avg prop),0.335,0.28,753,1.205,635.0,1600.0,53.70703,53.481567
uranium carbide (UC2),33.472,12.6,234,2.644,9414.0,11300.0,27.447693,41.972412
chromium copper (Cu Bal Cr0.5),326.35,97.6,377,3.348,33036.0,8880.0,54.616272,61.090576
nickel alloy inconel 702 (annealed),12.552,3.26,460,3.85,6953.0,8370.0,51.427612,42.937134
teflon,0.251,0.12,1004,2.179,740.0,2170.0,44.307007,67.43176
iron ni-resist type 3 (cast),39.33,11.6,460,3.404,11573.0,7400.0,47.959656,19.586426
zirconium oxide + ti cermet zt-15-m,6.276,2.48,444,2.531,3983.0,5700.0,58.652283,66.96509
promethium,12.552,9.26,188,1.354,4125.0,7200.0,59.979675,62.13208
hafnium carbide (HfC),29.288,12.3,188,2.369,8336.0,12600.0,29.683105,40.09668
nickel alloy waspalloy,11.297,3.29,418,3.428,6226.0,8200.0,48.330322,45.089966
aluminum oxide + cr (Al2O3 23 Cr 77),46.024,15.5,502,2.962,11677.0,5900.0,48.84021,28.025635
titanium carbide + nbc + ni,33.472,11.2,544,2.992,10006.0,5500.0,51.407837,28.451782
acetal resin (delrin),0.23,0.11,1464,2.079,692.0,1420.0,45.826904,67.461914
cellulose nitrate (pyroxylin),0.23,0.11,1464,2.02,682.0,1380.0,46.118225,67.07532
iron nodular cast pearlitic base,37.656,11.4,460,3.312,11170.0,7200.0,48.705444,22.065308
polyvinylidene fluoride (kynar),0.126,0.05,1381,2.431,552.0,1760.0,43.78839,68.663574
urea-formaldehyde  molded,0.126,0.05,1674,2.511,561.0,1500.0,47.077087,66.61987
tantalum alloy (Ta62 Nb30 V7.5),27.196,20.1,117,1.351,6067.0,11550.0,60.33728,61.03125
nitric acid,0.29,0.096,2000,3.02,935.9,1510.0,50.48651,68.91101
magnesium alloy bz33a(ac ah) (casting),100.42,53.5,1025,1.876,13725.0,1830.0,62.53241,63.41211
neodymium boride (NdB6) (97.3 pc dense),47.279,15.7,628,3.014,11934.0,4800.0,48.996826,25.743896
zinc sulfide (ZnS) (cubic crystal),25.941,13.4,473,1.939,7091.0,4100.0,99.209656,54.08362
siliceous brick (SiO2 89  Al2O3 9),0.937,0.65,753,1.453,1167.0,1930.0,53.67401,56.651
1-dodecene,0.14,0.0856,2150,1.636,478.5,761.0,54.26013,61.351807
urea-formaldehyde  molded,0.126,0.05,1674,2.511,561.0,1500.0,47.077087,66.61987
nickel alloy hastelloy d,20.92,5.94,452,3.526,8587.0,7800.0,48.61914,30.426147
titanium alloy (Ti Bal  Al5  Sn2.5),7.113,2.92,544,2.437,4163.0,4480.0,69.56287,59.62036
chromium nitride (Cr2N),22.594,5.54,628,4.082,9601.0,6500.0,43.919983,37.87793
ytterbium boride (YbB6) (90.6 pc dense),25.104,8.0,628,3.14,8876.0,5000.0,49.59607,38.73535
nickel alloy rene 41,10.334,2.97,423,3.481,5995.0,8230.0,49.773743,46.594482
oxygen (gas),0.026,23.2,795,0.001,5.0,1.429,51.57202,35.6167
hafnium,22.175,11.8,142,1.874,6454.0,13200.0,46.153137,41.90686
bismuth (liquid),10.878,7.64,142,1.42,3934.0,10000.0,61.320435,54.757202
polyvinylidene chloride film,0.126,0.06,1339,2.25,531.0,1680.0,44.133667,68.51257
mock h.e. rm-04-bg (lx-04-1 mech mock),0.115,0.06,962,1.799,454.0,1870.0,47.959595,64.323975
tungsten titanium carbide k4h,46.861,9.96,377,4.713,14853.0,12500.0,30.924255,18.518066
steel stainless hf (cast),23.012,5.91,502,3.891,9463.0,7750.0,51.30493,26.548584
extruded polystyrene foam,0.029,0.773,1200,0.035,25.0,29.0,52.25006,41.28894
lithium (liquid),42.258,19.7,4226,2.147,9525.0,508.0,16.39325,37.260498
"carbon dioxide  (25 °C, 65 bar)",0.080748,0.018631,6057,4.334,11.0,715.5,15.14209,100.0
titanium carbide + co (TiC 80 Co 20),35.564,12.1,544,2.948,10239.0,5420.0,52.341003,28.72461
iron ni-tensyliron (cast heat treat),46.024,13.9,460,3.312,12349.0,7200.0,47.100708,20.125977
wood maple (across grain),0.176,0.11,2301,1.634,536.0,710.0,54.616272,61.090576
pentane,0.14,0.1026,2180,1.365,437.1,626.0,54.616272,61.090576
calcium oxide (CaO) (pressed  91 dens),13.807,6.05,753,2.282,5613.0,3030.0,73.255554,55.16919
cobalt,84.935,22.7,423,3.748,17833.0,8860.0,29.193298,36.63257
chromium copper (Cu Bal Cr0.5),326.35,97.6,377,3.348,33036.0,8880.0,54.616272,61.090576
beta-spodumene (Li2O.Al2O3.4SiO2) (tet),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
titanium carbide + nbc + ni,33.472,11.2,544,2.992,10006.0,5500.0,51.407837,28.451782
titanium alloy ti150a (Cr2.7 Fe1.4),15.899,6.36,544,2.502,6307.0,4600.0,79.365906,46.374268
rubber natural,0.138,0.07,2092,1.946,518.0,930.0,52.418213,62.702637
silicon oxide (SiO2) (quartz c axis),11.715,5.87,753,1.995,4835.0,2650.0,61.62036,55.877686
astitine,0.418,0.4,139,1.043,661.0,7500.0,55.520325,59.70105
polyethylene (high density),0.502,0.23,2301,2.186,1048.0,950.0,54.965515,62.397095
steel carbon type 1020 (0.2 - 0.6 c),71.128,19.7,460,3.616,16040.0,7860.0,35.53784,27.233398
steel stainless cn-7m (cast),20.92,5.65,460,3.698,8798.0,8040.0,48.96698,29.717651
nickel alloy hastelloy a (annealed),9.623,2.78,393,3.458,5771.0,8800.0,45.451477,48.91638
tantalum,71.128,31.0,138,2.291,12769.0,16600.0,36.67395,54.409424
iron (0 to 3000 deg c),71.965,20.4,448,3.526,15924.0,7870.0,36.135498,29.592651
steel stainless (Cr 16-26  Ni 8-36),14.644,3.65,502,4.016,7670.0,8000.0,52.132202,41.36743
cobalt alloy s-816 (wrought),12.97,3.57,418,3.628,6863.0,8680.0,47.96411,41.82068
cypress wood (across grain),0.096,0.09,2301,1.058,319.0,460.0,54.409058,59.35608
toluene (25 °C),0.1304,0.088902,1701,1.467,39.0,862.0,51.820618,60.818726
bronze phospher 5 percent,71.128,21.3,377,3.34,15406.0,8860.0,34.12567,35.553955
titanium alloy ti150a (Cr2.7 Fe1.4),15.899,6.36,544,2.502,6307.0,4600.0,79.365906,46.374268
methanol (25 °C),0.20021,0.10046,2534,1.993,63.0,786.0,57.029663,63.04358
cobalt,84.935,22.7,423,3.748,17833.0,8860.0,29.193298,36.63257
vycor glass,1.339,0.82,745,1.632,1478.0,2190.0,53.028625,59.29248
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),22.05,4.96,1255,4.443,9898.0,3540.0,10.091614,81.74072
krypton (gas),0.009,99.9,247,0.0,1.0,0.3733,53.214172,14.265747
orthoclase (K2O.Al2O3.6SiO2) (crystal),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
tungsten boride (WB),4.602,1.64,176,2.816,3597.0,16000.0,50.06714,30.409668
tourmaline,4.602,1.77,837,2.595,3455.0,3100.0,53.42621,66.545166
magnesium (liquid),83.68,39.8,1339,2.102,13263.0,1570.0,58.500916,63.015503
steel stainless 304,14.644,3.68,502,3.976,7631.0,7920.0,52.125854,41.23413
oregon pine wood (across grain),0.113,0.1,2301,1.174,364.0,510.0,54.51117,60.21057
zinc antimonide (ZnSb),2.343,1.37,272,1.714,2004.0,6300.0,58.72577,78.827515
pentane,0.14,0.1026,2180,1.365,437.1,626.0,54.616272,61.090576
germanium (n-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
titanium boride (TiB2) (hp  95 pc dens),25.104,8.72,669,2.877,8501.0,4300.0,66.32434,39.328613
cobalt alloy hs-21 (as cast),12.552,3.58,423,3.511,6635.0,8300.0,48.590027,42.500244
molybdenum telluride (mote2),2.008,1.62,226,1.243,1580.0,5500.0,54.644836,58.423096
cork ground,0.043,0.14,2008,0.301,114.0,150.0,53.213318,49.350098
cellulose acetate butyrate (low k),0.167,0.1,1464,1.757,542.0,1200.0,48.157166,63.963135
magnesium sulfate (MgSO4) (crystal),2.51,0.75,1255,3.338,2895.0,2660.0,32.47162,79.77783
melamine alpha cellulose filled,0.356,0.14,1674,2.511,945.0,1500.0,47.06891,66.625854
aluminum alloy (Al Mg 2.5-5.0),125.52,53.7,879,2.338,17127.0,2660.0,62.414,64.95447
lead antimonial (Pb Sb 4-6) (hard),29.706,20.2,134,1.469,6603.0,10960.0,59.83313,63.036743
tantalum boride (TaB),117.15,46.3,209,2.529,17220.0,12100.0,42.497314,63.651
aluminum alloy (Al99.0 wrot or annld),209.2,88.2,879,2.373,22277.0,2700.0,63.913757,65.69763
barium sulfate (BaSO4) (crystal),1.674,0.56,669,3.011,2245.0,4500.0,45.943176,68.152954
nickel alloy monel (cold-drawn),16.192,4.25,431,3.808,7852.0,8835.0,47.711975,36.249756
phenolic cast no filler,0.167,0.09,1464,1.918,567.0,1310.0,46.788147,66.05701
tin telluride (snte 80  agsbte2 20),2.594,1.91,209,1.359,1878.0,6500.0,54.944458,60.90808
marble dielectric (CaCO3 99.99),3.766,1.59,879,2.373,2989.0,2700.0,49.59131,65.880615
zinc (liquid),59.413,17.4,502,3.414,14243.0,6800.0,41.886047,19.998657
tantalum nitride (tan),7.95,2.7,205,2.944,4838.0,14360.0,41.139587,34.389893
dolomite - calcium magnesium carbonate (CaMg(CO3)(avg prop),2.929,1.18,921,2.487,2698.0,2700.0,45.831482,67.52222
gadolinium,8.786,4.85,230,1.81,3989.0,7870.0,58.797485,63.71167
tungsten titanium carbide k84,53.137,12.1,377,4.411,15301.0,11700.0,30.36206,18.942749
cobalt alloy j-1570,10.042,2.86,418,3.511,5941.0,8400.0,49.50049,47.212036
zirconium nitride (ZrN) (pr sr 88-90 d),10.46,4.18,385,2.503,5116.0,6500.0,55.66693,61.232056
tungsten alloy (W90 Ni6 Cu2-4),77.404,34.6,134,2.238,13156.0,16700.0,38.36322,57.363525
uranium carbide (UC) (avg),23.849,8.71,203,2.741,8082.0,13500.0,27.213196,38.107666
krypton (gas),0.009,99.9,247,0.0,1.0,0.3733,53.214172,14.265747
styrene-butadiene rubber + carbon black,0.243,0.14,1757,1.757,653.0,1000.0,49.95819,64.46106
aluminum alloy (Al96.0 wrot or annld),188.28,79.4,879,2.373,21134.0,2700.0,63.57086,65.52771
steel stainless he (cast),17.154,3.81,586,4.5,8785.0,7680.0,47.09613,42.452637
uranium oxide + mo (UO2 80 vol) (91 d),13.807,4.13,335,3.35,6798.0,10000.0,33.018494,45.66797
samarium,12.552,9.3,180,1.35,4115.0,7500.0,59.315308,62.093384
cellulose acetate (high k),0.335,0.18,1464,1.903,798.0,1300.0,47.09558,65.72754
titanium alloy ti155a (Al5 Fe2 Cr1 Mo1),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
iron ductile,28.87,8.71,460,3.312,9781.0,7200.0,48.90625,25.837646
uranium silicide (U3Si),16.736,6.17,176,2.719,6740.0,15450.0,32.766663,34.230225
vermiculite expanded,0.071,0.43,753,0.166,109.0,220.0,52.27643,41.50952
r410a,0.17,0.0921,1368,1.847,560.2,1350.0,47.28827,64.81555
plutonium nitride (PuN),13.807,5.15,188,2.679,6087.0,14250.0,35.819885,34.592407
phenolic molded (low density  k),0.172,0.11,1255,1.556,517.0,1240.0,50.217285,60.4386
pbx-9404-03 h.e. (hmx 94 nc 3 bind 3),0.427,0.23,1004,1.843,887.0,1836.0,47.90399,64.39917
soil clay (wet),1.506,0.34,2929,4.394,2572.0,1500.0,42.315674,81.548706
soil sandy dry,0.264,0.2,795,1.312,588.0,1650.0,53.45685,55.00525
tungsten boride (WB),4.602,1.64,176,2.816,3597.0,16000.0,50.06714,30.409668
indium antimonide (InSb) (imp 0.16),16.318,10.7,218,1.526,4986.0,7000.0,60.36255,62.9563
silicone foam rigid various,0.084,0.21,1339,0.402,183.0,300.0,52.787903,45.789185
composition b-3 h.e. (rdx 60  tnt 40),0.262,0.11,1356,2.339,783.0,1725.0,43.815247,68.82239
chromium carbide + ni (Cr(x)C(y) Ni),11.297,3.36,502,3.363,6165.0,6700.0,47.40143,48.425293
uranium alloy (U90  FS10),15.062,6.54,134,2.305,5890.0,17200.0,46.959167,34.518433
bronze architectural,121.34,37.9,377,3.205,19708.0,8500.0,42.37445,51.254883
tantalum alloy (Ta98 Cu0.7 Zr0.7),41.84,18.2,138,2.299,9811.0,16660.0,36.07245,44.662598
cobalt alloy hs-30 (422-19) (as cast),12.552,3.61,418,3.474,6606.0,8310.0,47.875427,42.69409
oak white live wood (across grain),0.209,0.11,2385,1.968,642.0,825.0,55.59381,61.88147
carbon amorphous (carbon stock),6.276,5.88,707,1.068,2589.0,1510.0,55.73706,49.76416
neodymium boride (NdB6) (97.3 pc dense),47.279,15.7,628,3.014,11934.0,4800.0,48.996826,25.743896
strontium titanate + co (Co 20),6.276,2.16,502,2.912,4275.0,5800.0,40.86084,63.227783
bronze phospher 1.25 percent,205.02,61.2,377,3.355,26214.0,8900.0,54.828857,56.682617
arsenic telluride (As2Te3) (v zone mlt),2.594,1.85,234,1.404,1910.0,6000.0,54.745667,60.56909
acetylene (ethyne)  (25 °C),0.021792,11.708,1762,0.002,75.0,1.0566,52.358215,42.19458
kyanite - aluminum silicate (Al2O3.SiO2) (tricl crystal),17.322,6.16,770,2.811,6977.0,3650.0,68.83362,58.46289
thorium carbide (ThC) (80 pc dense),8.786,6.03,172,1.462,3579.0,8500.0,56.323853,60.1073
