Material,Thermal Conductivity (W/m*K),Thermal Diffusivity (mm2/s),Specific Heat Capacity (J/kg*K),Volumetric Specific Heat (MJ/m³K),Thermal Effusivity (Ws0.5/(m2K)),Material Density (kg/m3),Durability (d),Price (c) ($/m^3)
tungsten boride (WB),4.602,1.64,176,2.816,3597.0,16000.0,50.06714,30.409668
lead oxide (PbO) (yellow),2.929,1.79,205,1.64,2192.0,8000.0,63.66217,65.77527
tantalum alloy (Ta62 Nb30 V7.5),27.196,20.1,117,1.351,6067.0,11550.0,60.33728,61.03125
thorium boride (ThB4),15.899,3.81,494,4.174,8144.0,8450.0,51.659424,38.666138
polypropylene moplin,0.134,0.08,1925,1.752,484.0,910.0,51.34149,63.49231
curium,12.552,14.3,126,0.882,3321.0,7000.0,68.137695,60.000732
polyimide h-film kapton,1.13,0.7,1130,1.605,1346.0,1420.0,50.711426,60.372925
magnesium (liquid),83.68,39.8,1339,2.102,13263.0,1570.0,58.500916,63.015503
light mineral oil,0.129,0.08,1717,1.511,441.0,880.0,51.70941,61.452637
diallyl phthalate (dapon),0.305,0.16,1130,1.865,755.0,1650.0,47.549683,64.546265
titanium oxide (TiO2) (rutile  a axis),8.786,3.01,686,2.916,5062.0,4250.0,54.91748,73.52161
nickel alloy multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
tungsten titanium carbide k84,53.137,12.1,377,4.411,15301.0,11700.0,30.36206,18.942749
yttrium,12.552,9.59,293,1.31,4054.0,4470.0,65.164795,60.60254
cerium oxide (CeO2),11.715,5.46,352,2.147,5012.0,6100.0,72.07068,62.9104
water heavy (d2o) (liquid),0.561,0.12,4205,4.626,1610.0,1100.0,29.637451,89.082886
r12 (dichlorofluoromethane),0.07,0.0531,886,1.318,303.8,1488.0,52.99292,55.474365
cerium boride (CeB6) (99.0 pc dense),33.89,11.5,628,2.952,9998.0,4700.0,60.566467,27.942871
brass aluminum (Cu76 Zn22 Al2),100.42,31.0,377,3.242,18034.0,8600.0,36.80548,45.948853
titanium alloy (Ti Bal Al5 Sn5 Zr5),7.95,3.44,502,2.309,4285.0,4600.0,72.92108,61.394165
sandstone (high density),4.184,1.67,962,2.501,3235.0,2600.0,47.09143,67.98584
californium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
gadolinium,8.786,4.85,230,1.81,3989.0,7870.0,58.797485,63.71167
wood maple (across grain),0.176,0.11,2301,1.634,536.0,710.0,54.616272,61.090576
spruce wood (across grain),0.126,0.24,1255,0.515,254.0,410.0,52.892517,46.665527
magnesium alloy 1960 (Mg Ce6.7),118.83,67.3,1004,1.767,14491.0,1760.0,64.38617,64.32239
copper sulfate hydrate (CuSO4.5H2O),2.259,0.84,1172,2.677,2459.0,2284.0,41.168457,71.19055
uranium silicide (U3Si),16.736,6.17,176,2.719,6740.0,15450.0,32.766663,34.230225
magnesium alloy 1960 (Mg Ce6.7),118.83,67.3,1004,1.767,14491.0,1760.0,64.38617,64.32239
mendelevium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
aluminum alloy (Al98.0 average trtmt),188.28,79.4,879,2.373,21134.0,2700.0,63.57086,65.52771
soil sandy dry,0.264,0.2,795,1.312,588.0,1650.0,53.45685,55.00525
uranium alloy (U93 Fs5 Zr2),20.083,9.09,126,2.218,6660.0,17600.0,46.549927,37.036987
steel  stainless 446,22.928,6.56,460,3.496,8955.0,7600.0,49.14453,28.737549
tetradecafluorohexane,0.057,0.0308,1100,1.848,324.8,1680.0,47.319702,64.82837
tungsten carbide cermet carboloy 905,100.42,31.8,209,3.156,17811.0,15100.0,19.474487,54.47461
titanium carbide cermet k164b,20.083,5.6,544,3.59,8491.0,6600.0,48.759216,35.75757
zinc-aluminum-copper alloy astm 25,108.78,38.8,418,2.801,17463.0,6700.0,51.34082,55.038452
lead (liquid),16.318,10.2,151,1.601,5104.0,10600.0,57.823425,53.04956
tungsten alloy (W75 Re25),64.852,24.6,134,2.64,13079.0,19700.0,35.21216,50.656372
aluminum fluosilicate (topaz) (2 AlFO.SiO2) (c-axis),22.05,4.96,1255,4.443,9898.0,3540.0,10.091614,81.74072
barium titanate (BaO.TiO2) (sintered),3.389,1.31,439,2.59,2964.0,5900.0,51.92389,60.585327
silver selenide (Ag2Se),0.837,0.37,280,2.24,1370.0,8000.0,73.64087,50.13623
nickel alloy hastelloy n and inor-8,10.753,3.08,398,3.498,6130.0,8790.0,46.40692,46.78882
magnesium alloy hk31a(o) (casting),104.6,57.0,1025,1.835,13853.0,1790.0,62.950012,63.406372
vanadium boride (vb2),56.902,17.0,661,3.351,13810.0,5070.0,40.255676,23.083862
melamine fabric or flock filled,0.444,0.17,1674,2.544,1062.0,1520.0,47.014526,66.66565
silicone rubber (rtv 521 and 093-009),0.272,0.16,1255,1.757,691.0,1400.0,48.356445,63.25061
titanium alloy (Ti Bal Al4 Cu4 Sn2),7.95,3.38,523,2.354,4325.0,4500.0,72.96484,59.731445
ammonium chloride (NH4Cl),2.51,0.98,1678,2.567,2539.0,1530.0,43.984375,67.57605
benzene (25 °C),0.14127,0.093269,1734,1.515,43.0,873.66,51.52832,61.78296
dysprosium,10.042,6.78,173,1.48,3858.0,8556.0,56.18048,60.282837
tin oxide (SnO2) (93-95 pc dense),31.38,16.5,343,1.907,7737.0,5560.0,93.26599,57.78711
iron sulfide (FeS2) (single crystal),37.907,13.6,557,2.785,10270.0,5000.0,59.303406,31.029785
teflon,0.251,0.12,1004,2.179,740.0,2170.0,44.307007,67.43176
soil sandy dry,0.264,0.2,795,1.312,588.0,1650.0,53.45685,55.00525
cerium,10.878,8.32,193,1.31,3771.0,6790.0,60.14691,61.656372
steel stainless 17-4ph,14.644,5.65,335,2.596,6163.0,7750.0,39.123352,51.333862
nickel alloy hastelloy b,10.46,2.97,381,3.52,6066.0,9240.0,43.828064,48.08081
tantalum boride (TaB),117.15,46.3,209,2.529,17220.0,12100.0,42.497314,63.651
uranium oxide (UO2) (polyxtal  97 dens),10.042,3.9,243,2.576,5083.0,10600.0,41.11493,41.018433
titanium alloy (Ti Bal Al2 Mn2),9.623,3.93,544,2.448,4853.0,4500.0,75.33826,58.187378
beryllium + beo (Be BeO 0.6-1.7),179.91,53.7,1820,3.349,24546.0,1840.0,54.616272,61.090576
glycerol (21 °C),0.287,0.09695,2346,2.96,89.0,1262.0,56.864746,66.59448
manganese telluride (99mnte.nate),1.841,0.8,402,2.291,2053.0,5700.0,56.573486,71.12744
cobalt alloy j-1570,10.042,2.86,418,3.511,5941.0,8400.0,49.50049,47.212036
uranium oxide + zr (UO2 80 Zr 20),10.878,5.15,243,2.117,4795.0,8710.0,51.901245,56.746216
steatite - magnesium silicate (MgO.SiO2) (commercial grades),3.347,1.33,837,2.511,2899.0,3000.0,47.269653,66.40198
snow (fresh),0.105,0.5,2092,0.209,148.0,100.0,53.167175,48.963623
tungsten carbide cermet k94 and k1,91.63,31.1,209,2.947,16440.0,14100.0,22.428162,52.398315
titanium alloy (Ti Bal  Al5  Sn2.5),7.113,2.92,544,2.437,4163.0,4480.0,69.56287,59.62036
einsteinium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
nickel alloy hastelloy c,10.46,3.04,385,3.442,5999.0,8940.0,43.436096,47.8573
zirconium alloys zircalloy 2 and 3,13.807,7.19,293,1.922,5151.0,6560.0,70.3111,59.35132
magnesium alloy az855(x) (wrought),79.496,43.1,1025,1.845,12111.0,1800.0,61.89807,59.569824
aluminum alloy (Al98.5 cast or tempd),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
fluorocarbons tfe (teflon),0.251,0.12,1004,2.179,740.0,2170.0,44.307007,67.43176
silicone rubber (rtv 521 and 093-009),0.272,0.16,1255,1.757,691.0,1400.0,48.356445,63.25061
teak wood (across grain),0.172,0.12,2301,1.473,503.0,640.0,54.616272,61.090576
alkyd isocyanate foam,0.05,0.19,1674,0.268,116.0,160.0,52.822205,46.07617
aluminum alloy (Al98.5 cast or tempd),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
lanthanum,13.807,11.6,193,1.197,4059.0,6200.0,65.5094,61.400513
aluminum alloy (Al84.0  cast or tempd),83.68,35.3,879,2.373,14089.0,2700.0,69.98682,58.95044
phenol-formaldehyde + phenol-furfural,0.209,0.1,1674,2.143,670.0,1280.0,47.257874,66.48718
mock h.e. rm-04-bg (lx-04-1 mech mock),0.115,0.06,962,1.799,454.0,1870.0,47.959595,64.323975
nickel oxide (nio) (polyxtal  88-100 d),12.97,3.36,603,3.859,7072.0,6400.0,43.290894,53.578613
tungsten oxide (Wo3) (polyxtal. porous),25.104,11.3,310,2.22,7460.0,7160.0,48.901855,50.00354
uranium alloy (U95  Zr5),18.828,8.57,126,2.205,6430.0,17500.0,47.44232,36.522827
steel stainless hw (cast),13.389,3.57,460,3.749,7086.0,8150.0,51.091736,41.178467
diatomaceous earth brick (prll strata),0.138,0.4,795,0.35,220.0,440.0,52.54315,43.7417
steel stainless (Cr 16-26  Ni 8-36),14.644,3.65,502,4.016,7670.0,8000.0,52.132202,41.36743
silver antimony telluride (SnTe 25 pc),0.983,0.72,209,1.359,1156.0,6500.0,55.917603,65.06384
lead oxide (PbO) (yellow),2.929,1.79,205,1.64,2192.0,8000.0,63.66217,65.77527
silicone rubber (medium k),0.335,0.21,1255,1.632,739.0,1300.0,49.662598,61.513916
silicone rubber low k,0.138,0.08,1255,1.632,475.0,1300.0,49.41101,61.747925
pyrophyllite (parallel to bedding),4.77,2.04,837,2.344,3343.0,2800.0,52.067932,64.82678
steel stainless (Cr 12-13 Ni 0-3),23.43,7.01,431,3.34,8847.0,7750.0,46.381836,30.759521
polyvinylidene chloride film,0.126,0.06,1339,2.25,531.0,1680.0,44.133667,68.51257
molybdenum alloy (Mo99.5 Ti0.5),117.15,45.0,255,2.601,17463.0,10200.0,48.73584,60.429688
boron nitride (Bn 97 Bn2O3 2) (perp p),28.87,17.3,795,1.67,6943.0,2100.0,76.80676,52.392944
soil (av props),0.837,0.62,1046,1.36,1067.0,1300.0,53.05652,56.117065
r410a,0.17,0.0921,1368,1.847,560.2,1350.0,47.28827,64.81555
gypsum - calcium sulfate dihydrate (CaSO4.4H2O),1.297,0.51,1088,2.524,1809.0,2320.0,42.670654,70.20276
calcium fluoride (CaF2) (mineral aggr),4.017,1.08,1167,3.711,3861.0,3180.0,24.400513,86.532715
benzene (25 °C),0.14127,0.093269,1734,1.515,43.0,873.66,51.52832,61.78296
chromium silicide (CrSi2),7.95,3.22,494,2.47,4430.0,5000.0,70.44055,62.819946
titanium oxide (TiO2) (rutile c axis),13.389,4.59,686,2.916,6249.0,4250.0,59.165955,62.1261
indium (liquid),43.932,23.5,266,1.87,9065.0,7030.0,73.50873,61.183594
indium telluride (In2Te3),1.255,1.35,201,0.93,1080.0,4629.0,54.614258,54.670166
cobalt alloy v-36 (wrought),12.552,3.49,418,3.595,6720.0,8600.0,48.170044,42.552734
aluminum alloy (Al96.0 average trtmt),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
magnesium aluminate (MgO.Al2O3) (xtal),14.226,4.87,812,2.923,6447.0,3600.0,60.30139,69.12634
spruce wood (across grain),0.126,0.24,1255,0.515,254.0,410.0,52.892517,46.665527
aluminum,225.94,91.0,921,2.485,23688.0,2698.0,63.22705,65.35742
nickel alloy monel h (cast),26.778,7.19,439,3.723,9988.0,8480.0,45.998535,23.549927
gadolinium oxide (Gd2O3) (monoc) (98 d),10.042,4.53,290,2.216,4717.0,7640.0,59.544617,60.779907
tin (liquid),33.472,20.1,243,1.665,7460.0,6850.0,78.13837,61.415894
concrete lightweight,0.209,0.34,657,0.624,361.0,950.0,52.92981,46.977173
ethylene glycol 50%,0.425,0.12,3287,3.471,1215.0,1056.0,44.55243,76.46814
tungsten carbide cermet carboloy 883,100.42,32.1,209,3.125,17722.0,14950.0,19.8443,54.260254
niobium nitride (Nb2N),7.95,2.97,322,2.676,4614.0,8310.0,43.031555,48.93701
window glass - lime,1.318,0.71,753,1.867,1569.0,2480.0,50.49951,63.45166
sandstone (high density),4.184,1.67,962,2.501,3235.0,2600.0,47.09143,67.98584
cobalt alloy hs-31 (x-40) (as cast),12.552,3.48,418,3.599,6724.0,8610.0,48.17047,42.554077
glass borosilicate crown,1.046,0.62,669,1.686,1328.0,2520.0,52.403687,60.868896
tungsten carbide cermet k6 and k96,100.42,32.2,209,3.114,17692.0,14900.0,19.968933,54.189697
gadolinium boride (GdB6) (95.6 pc dens),20.502,6.53,628,3.14,8021.0,5000.0,45.93219,46.597168
lithium fluoride (LiF 96) (plastic bnd),10.042,2.5,1632,4.015,6349.0,2460.0,21.046387,84.069824
aluminum alloy (Al96.5 cast or tempd),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
thorium carbide (ThC2) (69 pc dense),24.476,16.7,222,1.465,5986.0,6600.0,66.33411,63.12268
polyvinyl chloride acytate  flexible,0.167,0.08,1674,2.009,580.0,1200.0,47.574585,66.255005
titanium carbide + co (Co18 NbC TaC15),31.38,10.5,544,2.992,9689.0,5500.0,52.34149,29.135986
titanium nitride (TiN) (hp  70-90 dens),25.104,9.26,603,2.714,8250.0,4500.0,73.29773,34.895508
titanium oxide (TiO2) (rutile  a axis),8.786,3.01,686,2.916,5062.0,4250.0,54.91748,73.52161
magnesium (liquid),83.68,39.8,1339,2.102,13263.0,1570.0,58.500916,63.015503
thallium,38.911,25.3,130,1.541,7733.0,11850.0,55.371277,63.83557
titanium alloy (Ti Bal Al4 V2 Mo1),8.368,3.42,544,2.448,4526.0,4500.0,72.90442,59.190674
sp-1 polyimide resin (vespel),0.35,0.25,1130,0.85,1430.0,752.0,53.31836,50.228638
alumina brick high k (Al2O3 87) (22 p),2.929,1.37,753,2.146,2507.0,2850.0,50.55432,64.005005
lead,34.309,23.3,130,1.476,7107.0,11350.0,59.635254,63.458252
strontium titanate (SrO.TiO2) (80 d),2.594,1.21,536,2.144,2357.0,4000.0,51.493103,67.05444
thorium oxide (ThO2) (96-100 pc dense),11.715,5.21,234,2.246,5133.0,9600.0,46.782166,49.30005
magnesium alloy az92a(ac) (casting),54.392,29.1,1025,1.871,10087.0,1825.0,64.81061,53.66687
lithium aluminum silicate (b-spodumene),1.046,0.27,1255,3.891,2017.0,3100.0,34.381958,84.65808
pbx-9011 h.e. (hmx 90 estane 10),0.431,0.21,1172,2.074,946.0,1770.0,45.826843,66.889404
molybdenum silicide (MoSi2),45.187,17.3,418,2.617,10879.0,6260.0,46.062622,42.114624
zinc ferrite (ZnO.Fe2O3),4.017,1.29,586,3.123,3541.0,5330.0,37.10144,70.37512
steel multimet (n-155) (wrought),12.97,3.63,435,3.574,6809.0,8215.0,49.484924,41.640015
plastic laminate  various types,0.209,0.09,1255,2.259,687.0,1800.0,43.81665,68.62036
aluminum alloy 2024-5-t4 (annealed),175.73,75.5,837,2.327,20219.0,2780.0,63.768738,65.625854
copper alloy manganin (Cu84 Ni4 Mn12),22.175,6.77,377,3.28,8524.0,8700.0,39.476624,35.306274
phenolic cast asbestos filler,0.351,0.17,1255,2.134,866.0,1700.0,45.119385,67.47766
aluminum silicate (3Al2O3.2SiO2) (100d),6.276,2.56,766,2.451,3921.0,3200.0,62.640564,63.105347
hard fired silica brick (SiO2 94-95),1.674,1.24,753,1.355,1506.0,1800.0,55.453857,53.983887
glycerol (21 °C),0.287,0.09695,2346,2.96,89.0,1262.0,56.864746,66.59448
acetal resin (delrin),0.23,0.11,1464,2.079,692.0,1420.0,45.826904,67.461914
cobalt alloy k-42b,12.552,3.57,418,3.511,6642.0,8400.0,48.117126,42.506348
zirconium silicate (ZrO2.SiO2) (single crystal),4.184,1.67,544,2.502,3235.0,4600.0,58.854797,61.56433
allyl cast resins (low heat capacity),0.205,0.15,1088,1.414,538.0,1300.0,51.9422,57.5708
datb h.e. (diamino trinitrobenzene),0.251,0.11,1255,2.253,752.0,1795.0,43.8761,68.58154
marble dielectric (CaCO3 99.99),3.766,1.59,879,2.373,2989.0,2700.0,49.59131,65.880615
magnesite brick b (MgO 93) (22.6 p),4.812,2.08,837,2.31,3334.0,2760.0,51.388794,64.65918
californium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
titanium alloy (Ti Bal  Al5  Sn2.5),7.113,2.92,544,2.437,4163.0,4480.0,69.56287,59.62036
colombium alloy (Cb95 Ta5),44.769,19.8,251,2.259,10056.0,9000.0,36.78235,44.035034
uranium oxide (U3O8) (prsd at 100 psi),0.297,0.14,276,2.208,810.0,8000.0,75.80011,48.95752
bronze silicon high,33.472,10.4,377,3.216,10369.0,8530.0,39.93817,30.398438
barium titanate (BaO.TiO2) (+mn nb ox),1.297,0.5,439,2.59,1833.0,5900.0,51.511963,55.319458
magnesite brick (MgO 87),3.849,1.82,837,2.118,2855.0,2530.0,51.071167,63.30945
aluminum silicate (3Al2O3.2SiO2) (100d),6.276,2.56,766,2.451,3921.0,3200.0,62.640564,63.105347
"ammonia (NH3) (liquid under pressure)   (25 °C, 11 bar)",0.47021,0.163,4779,2.882,190.0,603.0,41.448425,80.727905
barium boride (BaB6),44.769,8.22,1255,5.447,15615.0,4340.0,0.26519775,66.26172
beryllium oxide + be (BeO 3-12),209.2,67.5,1088,3.101,25469.0,2850.0,55.82959,61.691772
nickel alloy a (Ni99.4) (annealed),66.944,17.1,439,3.903,16169.0,8890.0,34.717896,20.722778
silver chloride (AgCl) (single crystal),1.134,0.57,356,1.979,1497.0,5560.0,59.34961,83.77075
mercury chloride (HgCl2),1.297,0.84,285,1.55,1417.0,5440.0,57.24597,72.44165
niobium beryllide (Nb2Be17),31.38,10.7,921,2.947,9614.0,3200.0,49.458496,52.828003
titanium carbide + nbc + ni,33.472,11.2,544,2.992,10006.0,5500.0,51.407837,28.451782
egyptian firebrick (64-71 wt% SiO2),0.314,0.45,732,0.695,467.0,950.0,53.02533,47.77661
octane  (25 °C),0.12463,0.080089,2228,1.556,35.0,699.0,54.616272,61.090576
shale (avg prop),1.674,0.83,837,2.009,1833.0,2400.0,49.088013,64.39368
fluorocarbons tfe (teflon),0.251,0.12,1004,2.179,740.0,2170.0,44.307007,67.43176
magnesite brick c (MgO 86) (17.8 p),3.682,1.51,837,2.444,2999.0,2920.0,48.074646,65.91101
cordierite - magnesium aluminum silicate (2MgO.2Al2O3.5SiO2),2.218,1.36,774,1.625,1899.0,2100.0,54.44983,57.94519
barium nitrate (Ba(NO3)2) (prsd 8 k8),1.297,0.46,879,2.848,1921.0,3240.0,37.065857,70.7688
mmh (monomethyl hydrazine),0.25,0.0969,2950,2.581,803.1,875.0,57.10376,67.79834
aluminum fluosilicate (topaz) (2 AlFS.SiO2) (a-axis),19.246,4.33,1255,4.443,9247.0,3540.0,10.893372,82.321655
titanium oxide (TiOS2) (rutile  100 d),8.954,3.07,686,2.916,5110.0,4250.0,54.89026,73.31677
pyroceram 9606 (ceramic glass),3.975,1.95,782,2.033,2844.0,2600.0,52.367554,62.414917
niobium alloy (Nb85 Ti10 Zr5),29.288,14.8,255,1.981,7621.0,7770.0,50.188232,52.091187
cerium sulfide (Ce2S3),0.586,0.33,343,1.784,1022.0,5200.0,59.490417,82.12671
argon (gas) (25 °C),0.017745,21.101,522,0.001,82.0,1.6125,51.505737,35.061646
fermium,12.552,8.34,126,1.512,4348.0,12000.0,65.07764,48.4104
nickel alloy hastelloy a (annealed),9.623,2.78,393,3.458,5771.0,8800.0,45.451477,48.91638
tantalum carbide (TaC),22.175,8.32,190,2.66,7688.0,14000.0,28.38562,36.83972
carbon monoxide  (25 °C),0.024896,21.135,1042,0.001,114.0,1.1303,51.720093,36.85486
magnesium alloy az855(x) (wrought),79.496,43.1,1025,1.845,12111.0,1800.0,61.89807,59.569824
tungsten carbide cermet k701,53.974,18.4,209,2.926,12573.0,14000.0,23.085205,46.218994
curium,12.552,14.3,126,0.882,3321.0,7000.0,68.137695,60.000732
uranium oxide (U3O8) (prsd at 4200 psi),0.544,0.24,276,2.291,1116.0,8300.0,73.82861,46.47119
nickel alloy nimonic 105,10.878,2.96,460,3.675,6324.0,7990.0,51.34137,46.222046
aluminum alloy (Al96.0 average trtmt),167.36,70.6,879,2.373,19925.0,2700.0,63.226196,65.35693
silicon carbide (SiC) (refractory d-30),41.84,22.9,678,1.831,8750.0,2700.0,88.929504,52.095215
lithium hydride (lih) (cast gas voids),12.97,4.43,4184,2.929,6163.0,700.0,8.793579,57.87622
lutetium,10.46,7.05,151,1.487,3939.0,9850.0,61.584717,54.07251
forsterite ceramics,5.0,2.137,780,2.34,3420.0,3000.0,56.26642,63.779907
tungsten titanium carbide k4h,46.861,9.96,377,4.713,14853.0,12500.0,30.924255,18.518066
aluminum alloy 7075-t6 (as received),121.34,51.8,837,2.344,16864.0,2801.0,62.129944,64.81372
iron  grey cast  pearlitic (3.4 c),58.576,17.7,460,3.307,13922.0,7190.0,43.10199,22.600708
tungsten carbide cermet carboloy 999,121.34,38.0,209,3.187,19675.0,15250.0,18.92212,57.191284
zirconium nitride (ZrN),8.786,3.36,385,2.618,4796.0,6800.0,45.803345,59.444214
silicone rubber high k,0.753,0.46,1255,1.632,1108.0,1300.0,50.04547,61.19507
sodium,133.89,114.0,1213,1.177,12551.0,970.0,61.457336,53.967407
steel stainless hw (cast),13.389,3.57,460,3.749,7086.0,8150.0,51.091736,41.178467
iron sulfide (FeS2) (single crystal),37.907,13.6,557,2.785,10270.0,5000.0,59.303406,31.029785
iron ni-resist type 3 (cast),39.33,11.6,460,3.404,11573.0,7400.0,47.959656,19.586426
titanium alloy (Ti Bal Sn5.5 Al2),9.205,3.83,523,2.406,4706.0,4600.0,74.872314,58.415283
chromium nitride (Cr2N),22.594,5.54,628,4.082,9601.0,6500.0,43.919983,37.87793
iron malleable (2.5 c),51.045,13.5,527,3.794,13920.0,7200.0,42.524292,11.838257
silicon telluride (site),6.276,4.78,335,1.313,2870.0,3920.0,58.939392,58.641357
cobalt alloy hs-27 (cast),11.171,3.25,418,3.432,6195.0,8210.0,48.440186,45.290527
mullite (3Al2O3.2SiO2) (100 pc dense),6.276,2.56,766,2.451,3921.0,3200.0,62.640564,63.105347
quartz powder coarse (H2O 24),1.13,0.38,1590,2.973,1833.0,1870.0,42.779602,70.08325
neodymium boride (NdB6) (97.3 pc dense),47.279,15.7,628,3.014,11934.0,4800.0,48.996826,25.743896
nickel alloy duranickel (and -r) (soft),18.41,5.12,435,3.593,8134.0,8260.0,47.40808,33.302734
brass aluminum (Cu76 Zn22 Al2),100.42,31.0,377,3.242,18034.0,8600.0,36.80548,45.948853
cobalt alloy hs-21 (aged),32.635,9.3,423,3.511,10699.0,8300.0,44.443115,21.618164
potassium chloride (KCl) (sylvite xtal),6.987,5.12,686,1.365,3089.0,1990.0,58.33612,51.59021
uranium oxide + zr (UO2 80 Zr 20),10.878,5.15,243,2.117,4795.0,8710.0,51.901245,56.746216
cordierite - magnesium aluminum silicate (2MgO.2Al2O3.5SiO2),2.218,1.36,774,1.625,1899.0,2100.0,54.44983,57.94519
calcium oxide (CaO) (pressed  91 dens),13.807,6.05,753,2.282,5613.0,3030.0,73.255554,55.16919
americium,12.552,8.55,126,1.474,4293.0,11700.0,65.09198,49.49646
silicon nitride (Si3N4) (70 pc dense),1.548,1.02,690,1.518,1533.0,2200.0,54.761353,56.70862
aluminum alloy (Al94.0 cast or tempd),125.52,52.9,879,2.373,17256.0,2700.0,62.0166,64.75757
zinc (liquid),59.413,17.4,502,3.414,14243.0,6800.0,41.886047,19.998657
zirconium,31.38,17.0,285,1.853,7618.0,6500.0,78.772095,60.382935
tantalum boride (TaB2),86.19,31.8,226,2.712,15285.0,12000.0,28.649109,50.376587
tungsten titanium carbide k4h,46.861,9.96,377,4.713,14853.0,12500.0,30.924255,18.518066
calcium carbonate - calcite (CaCO3) (c axis),4.393,1.94,837,2.268,3156.0,2710.0,51.110535,64.49011
niobium nitride (Nb2N),7.95,2.97,322,2.676,4614.0,8310.0,43.031555,48.93701
silicone  molded  various fillers,0.167,0.09,1046,1.883,561.0,1800.0,47.15271,65.150024
germanium (n-type),58.576,34.1,322,1.715,10025.0,5325.0,95.3692,57.72168
steel  stainless 446,22.928,6.56,460,3.496,8955.0,7600.0,49.14453,28.737549
zinc antimonide (ZnSb),2.343,1.37,272,1.714,2004.0,6300.0,58.72577,78.827515
polystyrene (modified),0.084,0.06,1339,1.446,348.0,1080.0,51.29724,58.84912
aluminum (liquid),92.048,36.0,1084,2.558,15345.0,2360.0,56.208008,59.158813
orthoclase (K2O.Al2O3.6SiO2) (crystal),4.184,1.28,1255,3.263,3695.0,2600.0,27.973938,81.8772
steel ultra high strength type 300-m,57.739,16.5,448,3.512,14236.0,7840.0,41.072388,18.840332
nickel alloy permanickel,57.739,14.9,444,3.885,14969.0,8750.0,38.3338,15.073486
polyethylene (medium density),0.414,0.19,2301,2.151,944.0,935.0,55.066467,62.270508
niobium alloy (Nb61 Ta28 W10 Zr0.5),44.769,20.8,201,2.151,9808.0,10700.0,33.850952,46.710693
potassium,97.069,150.0,753,0.649,7938.0,862.0,56.15039,23.370361
ethyl vinyl acetate,0.075,0.03,2301,2.761,456.0,1200.0,55.48755,65.83032
shale (avg prop),1.674,0.83,837,2.009,1833.0,2400.0,49.088013,64.39368
tin telluride (snte 60  agsbte2 40),1.778,1.31,209,1.359,1555.0,6500.0,55.1687,61.873413
nickel alloy monel  h (as cast),20.92,5.62,439,3.723,8828.0,8480.0,47.172302,29.809814
neptunium,12.552,5.56,126,2.268,5325.0,18000.0,52.032043,33.572998
uranium alloy (U96 Nb4),22.803,10.3,126,2.23,7117.0,17700.0,44.8078,38.267212
polyvinyl chloride rigid,0.251,0.18,1004,1.406,594.0,1400.0,52.205627,57.267212
aluminum alloy (Al90.0  cast or tempd),104.6,44.1,879,2.373,15752.0,2700.0,61.192505,64.34924
polypropylene moplin,0.134,0.08,1925,1.752,484.0,910.0,51.34149,63.49231
calcium fluoride (CaF2) (mineral aggr),4.017,1.08,1167,3.711,3861.0,3180.0,24.400513,86.532715
magnesite brick c (MgO 86) (17.8 p),3.682,1.51,837,2.444,2999.0,2920.0,48.074646,65.91101
rubber natural foam,0.042,0.2,2092,0.209,94.0,100.0,53.170715,48.993042
quartz crystal (silicon oxide) a axis (SiO2),6.485,3.25,753,1.995,3598.0,2650.0,55.92505,59.9209
polyvinyl chloride acytate  rigid,0.167,0.12,1004,1.406,485.0,1400.0,52.121277,57.322998
baratol h.e. (tnt 26 ba nitrate 76),0.495,0.24,803,2.088,1017.0,2600.0,45.162903,65.59778
nickel alloy monel h (cast),26.778,7.19,439,3.723,9988.0,8480.0,45.998535,23.549927
selenium (grey),0.753,0.49,322,1.542,1078.0,4790.0,56.69763,69.63696
polyvinyl alcohol,0.795,0.51,1255,1.569,1117.0,1250.0,50.66687,60.248047
magnesium alloy hk31a(t6) (casting),92.048,50.2,1025,1.835,12996.0,1790.0,61.835266,61.72107
polyimide h-film kapton,1.13,0.7,1130,1.605,1346.0,1420.0,50.711426,60.372925
astitine,0.418,0.4,139,1.043,661.0,7500.0,55.520325,59.70105
nickel alloy calite n,13.807,3.65,460,3.781,7227.0,8220.0,50.982666,40.380005
nylon glass filled,0.209,0.11,1339,1.875,626.0,1400.0,47.12085,65.07544
uranium alloy (U96 Nb4),22.803,10.3,126,2.23,7117.0,17700.0,44.8078,38.267212
curium,12.552,14.3,126,0.882,3321.0,7000.0,68.137695,60.000732
cobalt silicide (cos),9.623,2.49,586,3.868,6100.0,6600.0,42.45929,57.51367
aluminum alloy (Al93.0 average trtmt),146.44,61.7,879,2.373,18638.0,2700.0,62.749573,65.12073
glass borosilicate crown,1.046,0.62,669,1.686,1328.0,2520.0,52.403687,60.868896
